2.0 1.0 1185.0 20473.199999999997 28607 1980 239000.0 ad171 Rocky Mountain Ln, Boone, NCadf
3.0 2.5 2350.0 42253.2 28607 1978 349900.0 ad836 Fairway Dr, Boone, NCadf
3.0 2.0 2080.0 75794.4 28607 1999 299000.0 ad360 Misty Mountain Rd, Boone, NCadf
3.0 1.0 1068.0 12196.800000000001 28607 1962 195000.0 ad2777 Us 421 Hwy, Boone, NCadf
4.0 2.0 2728.0 9148.0 28607 1940 349500.0 ad463 Oak St, Boone, NCadf
3.0 3.0 2799.0 56192.4 28607 2006 399900.0 ad363 Hornblend Dr, Boone, NCadf
2.0 2.0 1008.0 10890.0 28607 1995 249900.0 ad570 Laurelwood Ln, Boone, NCadf
5.0 3.5 3108.0 43560.0 28607 1963 567500.0 ad353 Marion Cornett Rd, Boone, NCadf
3.0 2.5 1680.0 87120.0 28607 1992 289000.0 ad1265 Hopewell Church Rd, Boone, NCadf
5.0 2.0 1840.0 12632.4 28607 1946 349900.0 ad344 Jefferson Rd, Boone, NCadf
2.0 1.0 1226.0 10454.4 28607 1920 459000.0 ad250 Orchard St, Boone, NCadf
5.0 2.0 2878.0 23086.800000000003 28607 1910 395000.0 ad460 Hardin Rd, Boone, NCadf
5.0 2.0 2364.0 10018.800000000001 28607 1925 389000.0 ad1612 US Highway 421 N, Boone, NCadf
3.0 2.0 1816.0 65340.0 28607 1969 395000.0 ad103 Old Rd E, Boone, NCadf
2.0 3.0 2200.0 21780.0 28607 1983 375000.0 ad270 Tree Top Ridge Ln, Boone, NCadf
2.0 1.0 702.0 11761.2 28607 1970 249000.0 ad128 Summit Park Cir, Boone, NCadf
4.0 3.5 3750.0 27442.8 28607 1999 625000.0 ad284 Deerfield Forest Pkwy, Boone, NCadf
4.0 4.5 2716.0 22215.600000000002 28607 2000 479900.0 ad233 Lower Fiddlestix, Boone, NCadf
1.0 1.0 535.0 261360.0 28607 1975 230000.0 ad5821 NC Highway 194 Hwy, Boone, NCadf
3.0 3.0 1492.0 6534.0 28607 1965 239000.0 ad218 Whitener Dr, Boone, NCadf
3.0 1.5 1146.0 14810.400000000001 28607 1967 280000.0 ad156 Olancha Ave, Boone, NCadf
4.0 1.0 1403.0 23958.000000000004 28607 1935 395000.0 ad131 Sunset Dr, Boone, NCadf
4.0 3.0 2188.0 32234.399999999998 28607 2008 439000.0 ad502 Queen St, Boone, NCadf
3.0 2.5 3072.0 13068.0 28607 2008 599000.0 ad109 Poplar, Boone, NCadf
3.0 2.0 1426.0 16117.199999999999 28607 1978 384900.0 ad136 Hickory Ln, Boone, NCadf
3.0 3.0 1774.0 22651.2 28607 1994 375000.0 ad166 Running Deer Trl, Boone, NCadf
3.0 2.0 1400.0 14810.400000000001 28607 2020 314500.0 ad1425 Stoney Brook Ln, Boone, NCadf
3.0 2.0 1541.0 80586.0 28607 1989 375000.0 ad426 Milton Brown Heirs Rd, Boone, NCadf
3.0 3.0 1480.0 6534.0 28607 1947 289000.0 ad173 Carolina Ave, Boone, NCadf
5.0 5.5 8466.0 92782.79999999999 28607 2008 1995000.0 ad125 Jumpseed Way, Boone, NCadf
3.0 2.5 3204.0 46609.200000000004 28607 2008 699000.0 ad281 Coffey Knob Rd, Boone, NCadf
3.0 4.0 2030.0 15681.599999999999 28607 1967 499000.0 ad137 Oak, Boone, NCadf
3.0 3.5 3579.0 99752.40000000001 28607 2021 1099000.0 adBoulder Creek Dr, Boone, NCadf
4.0 2.0 2594.0 24829.199999999997 28607 2006 515000.0 ad253 Vfw Dr, Boone, NCadf
3.0 3.5 2517.0 3049.0 28607 2002 560000.0 ad181 Mossy Springs Ln Unit 7, Boone, NCadf
4.0 3.5 3358.0 45302.4 28607 1996 799900.0 ad180 Huntingdon, Boone, NCadf
3.0 3.5 2912.0 80150.40000000001 28607 2018 1120000.0 ad559 Marigold Rd, Boone, NCadf
3.0 3.5 2345.0 238708.80000000002 28607 1994 799000.0 ad436 Churchill Downs, Boone, NCadf
3.0 3.5 4220.0 435600.0 28607 2000 2500000.0 ad530 Howards Knob Rd, Boone, NCadf
3.0 3.5 3050.0 19602.0 28607 2020 739000.0 ad515 State View Rd, Boone, NCadf
3.0 3.5 4209.0 2.3940576E7 28607 2019 7995000.0 ad1166 Old East Ridge Rd, Boone, NCadf
3.0 1.0 1120.0 74487.59999999999 28607 1997 199900.0 ad2020 Castle Ford Rd, Boone, NCadf
3.0 1.0 1016.0 24829.199999999997 28607 1958 219900.0 ad163 Leola St, Boone, NCadf
3.0 2.0 1383.0 10018.800000000001 28607 1956 220000.0 ad8736 NC Highway 105 S, Boone, NCadf
2.0 1.0 864.0 12196.800000000001 28607 1975 224900.0 ad336 Daniel Boone Dr, Boone, NCadf
1.0 1.0 1186.0 336283.2 28607 2014 249000.0 ad226 Dark Hollow Rd, Boone, NCadf
2.0 1.0 988.0 54450.0 28607 1988 299900.0 ad607 609 Norman Rd, Boone, NCadf
3.0 1.5 1839.0 10890.0 28607 1954 249900.0 ad2669 NC 194 Hwy, Boone, NCadf
3.0 3.5 3647.0 87120.0 28607 1998 674000.0 ad175 Stoney Creek Way, Boone, NCadf
2.0 2.5 1785.0 22651.2 28607 1999 299900.0 ad272 Rocky Maple Rd, Boone, NCadf
3.0 2.5 2303.0 18730.8 28607 1973 369000.0 ad144 Ridge Point Dr, Boone, NCadf
2.0 2.0 1942.0 80150.40000000001 28607 1995 349000.0 ad621 Benjamin Dr, Boone, NCadf
2.0 3.5 3876.0 20037.600000000002 28607 1987 475000.0 ad283 Bella Vista Dr, Boone, NCadf
5.0 4.5 5971.0 66211.2 28607 2000 999500.0 ad317 The Mdws, Boone, NCadf
4.0 3.5 4127.0 37461.6 28607 2005 989000.0 ad1102 State View Rd, Boone, NCadf
3.0 2.5 1877.0 43560.0 28607 1975 299000.0 ad3110 Old 421 S, Boone, NCadf
4.0 5.0 5110.0 17859.6 28607 1940 749900.0 ad300 Cherry Dr, Boone, NCadf
2.0 2.0 1104.0 18730.8 28607 2007 265000.0 ad149 Rhododendron Dr, Beech Mountain, NCadf
3.0 3.0 3103.0 128066.4 28607 2002 449900.0 ad350 Rocky Maple Ave, Boone, NCadf
3.0 2.5 2890.0 33105.6 28607 1974 379500.0 ad966 Teaberry Hills Rd, Boone, NCadf
3.0 2.0 2383.0 45738.0 28607 1992 439900.0 ad648 Cool Woods Dr, Boone, NCadf
3.0 3.0 1636.0 43995.6 28607 1964 325000.0 ad332/334 Locust Ln, Boone, NCadf
3.0 3.0 1759.0 39204.0 28607 2003 350000.0 ad405 Camp Rock Rd, Boone, NCadf
3.0 2.5 2419.0 25264.8 28607 1983 449000.0 ad154 Breckonshire Dr, Boone, NCadf
3.0 2.5 2578.0 1742400.0 28607 1996 859000.0 ad3549 Howards Creek Rd, Boone, NCadf
3.0 2.0 1624.0 21780.0 28607 1985 299000.0 ad501 Fieldstream Dr, Boone, NCadf
4.0 3.5 5000.0 53578.799999999996 28607 1972 859000.0 ad766 Appalachian Dr, Boone, NCadf
4.0 3.0 1800.0 10454.4 28607 1992 339000.0 ad286 Sunset Dr, Boone, NCadf
4.0 4.0 4055.0 88426.79999999999 28607 2000 689000.0 ad600 Sunrise Valley Dr, Boone, NCadf
1.0 1.0 420.0 1542895.2000000002 28607 2011 480000.0 ad7158 NC Highway 194 N, Boone, NCadf
3.0 2.5 2104.0 52707.6 28607 1995 435000.0 ad270 Algonquin Dr, Boone, NCadf
3.0 3.5 5741.0 297950.39999999997 28607 1990 1299000.0 ad140 Wilson Ridge Rd, Boone, NCadf
4.0 3.5 2871.0 28749.600000000002 28607 2020 769000.0 ad323 Honeysuckle Ln, Boone, NCadf
4.0 4.5 3590.0 138085.19999999998 28607 1995 624900.0 ad2512 Blackberry Rd, Boone, NCadf
3.0 2.0 1668.0 44866.8 28607 1990 359000.0 ad289 Eagle Dr, Boone, NCadf
4.0 3.5 6408.0 1122105.6 28607 2003 1595000.0 ad838 Church Rd, Boone, NCadf
3.0 3.5 4941.0 176853.59999999998 28607 1997 639000.0 ad384 Shores Way, Boone, NCadf
3.0 3.5 2883.0 24393.600000000002 28607 1969 575000.0 ad408 Eagle Dr, Boone, NCadf
4.0 4.5 4880.0 304484.4 28607 2013 1695000.0 ad4557 Reynolds Pkwy, Boone, NCadf
5.0 4.0 2878.0 22651.2 28607 1964 649900.0 ad184 Russell Dr, Boone, NCadf
3.0 2.0 2270.0 307098.0 28607 1986 729900.0 ad193 Riverview Rd, Boone, NCadf
3.0 2.5 2582.0 895158.0 28607 1988 825000.0 ad188 Trail Ridge Dr, Boone, NCadf
4.0 4.0 2978.0 16988.4 28607 2000 1200000.0 ad238 Cedar, Boone, NCadf
2.0 2.0 1619.0 136342.8 28607 2008 419900.0 ad337 Rivers Crest Rd, Boone, NCadf
3.0 3.5 5807.0 154202.4 28607 1995 1650000.0 ad240 Newbiggin, Boone, NCadf
4.0 5.5 6471.0 5880600.0 28607 2002 2350000.0 ad1201 Meat Camp Baptist Church Rd, Boone, NCadf
3.0 4.5 4800.0 392040.0 28607 2002 2000000.0 ad1046 Deerfield Rd, Boone, NCadf
