3.0 2.0 1381.0 14810.400000000001 27545 1936 175000.0 ad100 Harper St, Knightdale, NCadf
3.0 2.0 1152.0 5663.0 27545 2002 185000.0 ad5104 Limewood St, Knightdale, NCadf
3.0 2.0 1172.0 7405.0 27545 1996 170000.0 ad407 Laurens Way, Knightdale, NCadf
3.0 2.0 1304.0 6970.0 27545 1993 205000.0 ad5332 Baywood Forest Dr, Knightdale, NCadf
5.0 4.0 4046.0 10454.4 27545 2005 409900.0 ad1001 Delta River Way, Knightdale, NCadf
4.0 2.5 2092.0 8276.0 27545 2009 244800.0 ad2244 Ballston Pl, Knightdale, NCadf
3.0 2.0 1357.0 6970.0 27545 2004 210900.0 ad2108 Ballston Pl, Knightdale, NCadf
3.0 2.0 1566.0 25264.8 27545 1960 249999.0 ad105 Satterwhite Dr, Knightdale, NCadf
3.0 2.5 2178.0 48351.600000000006 27545 1990 271900.0 ad5321 Fox Pointe Dr, Knightdale, NCadf
3.0 2.0 1443.0 45738.0 27545 1987 235900.0 ad5324 Sandy Trail Dr, Knightdale, NCadf
4.0 3.0 2541.0 30056.399999999998 27545 2021 445000.0 ad1905 Hutchinson St, Knightdale, NCadf
3.0 2.0 1354.0 11325.6 27545 1986 222500.0 ad105 Oxford Cir, Knightdale, NCadf
3.0 3.0 2100.0 5663.0 27545 2005 210000.0 ad1221 Rutledge Landing Dr, Knightdale, NCadf
3.0 2.5 1336.0 7841.0 27545 1998 225000.0 ad106 Spinel Ln, Knightdale, NCadf
4.0 2.5 2852.0 7405.0 27545 2010 320000.0 ad219 Switchback St, Knightdale, NCadf
3.0 2.0 1077.0 16117.199999999999 27545 2000 185000.0 ad905 Delham Rd, Knightdale, NCadf
4.0 3.5 3046.0 12196.800000000001 27545 1990 365000.0 ad1115 Laurens Way, Knightdale, NCadf
3.0 2.5 2887.0 32670.0 27545 1994 425000.0 ad5124 Woodfield Ln, Knightdale, NCadf
3.0 2.0 1244.0 32234.399999999998 27545 1983 215000.0 ad5709 Rockport Pl, Knightdale, NCadf
4.0 2.5 1959.0 12196.800000000001 27545 2007 268500.0 ad103 Chalkley Ct, Knightdale, NCadf
3.0 2.5 2532.0 9583.0 27545 2005 311000.0 ad1008 Delta River Way, Knightdale, NCadf
4.0 2.5 2126.0 6970.0 27545 2005 260000.0 ad911 Widewaters Pkwy, Knightdale, NCadf
3.0 2.0 1804.0 32670.0 27545 1975 264900.0 ad107 New Faison Ln, Knightdale, NCadf
3.0 2.5 2273.0 8276.0 27545 2004 289000.0 ad811 Maurepas Dr, Knightdale, NCadf
3.0 2.5 3165.0 12196.800000000001 27545 2015 374900.0 ad5240 Emerald Spring Dr, Knightdale, NCadf
5.0 3.0 3564.0 15245.999999999998 27545 2008 344900.0 ad5057 Stonewood Pines Dr, Knightdale, NCadf
3.0 2.5 2961.0 7362.0 27545 2020 387900.0 ad517 Sweet Pine Ln Unit 64, Knightdale, NCadf
3.0 3.0 2672.0 8276.0 27545 2021 400000.0 ad305 Spruce Pine Trl, Knightdale, NCadf
4.0 2.5 2041.0 7841.0 27545 2015 320000.0 ad1007 Hollister Way, Knightdale, NCadf
4.0 2.5 2692.0 7405.0 27545 2021 387900.0 ad510 Glenmere Dr, Knightdale, NCadf
3.0 2.5 2141.0 7362.0 27545 2020 334900.0 ad508 Tea Rose Dr Unit 8, Knightdale, NCadf
4.0 3.0 2517.0 7841.0 27545 2021 447000.0 ad404 Cedar Pond Ct, Knightdale, NCadf
4.0 3.5 2927.0 9148.0 27545 2021 420000.0 ad506 Glenmere Dr, Knightdale, NCadf
4.0 2.5 2721.0 6970.0 27545 2018 329900.0 ad4707 Broad Falls Ln, Knightdale, NCadf
5.0 3.0 3006.0 8276.0 27545 2016 410000.0 ad549 Silverliner Dr, Knightdale, NCadf
3.0 3.0 2672.0 8276.0 27545 2021 404900.0 ad509 Glenmere Dr, Knightdale, NCadf
4.0 3.5 2695.0 7841.0 27545 2021 406400.0 ad416 Ingram Ridge Ct, Knightdale, NCadf
5.0 3.0 3156.0 7841.0 27545 2021 442000.0 ad420 Ingram Ridge Ct, Knightdale, NCadf
4.0 3.5 2927.0 8276.0 27545 2021 424900.0 ad513 Glenmere Dr, Knightdale, NCadf
3.0 2.5 2419.0 13939.2 27545 2020 369900.0 ad500 Tea Rose Dr Unit 6, Knightdale, NCadf
4.0 2.5 2792.0 7754.0 27545 2020 387900.0 ad540 Tea Rose Dr Unit 16, Knightdale, NCadf
4.0 3.0 2961.0 7362.0 27545 2020 389900.0 ad524 Tea Rose Dr Unit 12, Knightdale, NCadf
3.0 3.5 3991.0 108464.40000000001 27545 2007 537500.0 ad8812 Wormsloe Dr, Knightdale, NCadf
