2.0 1.0 640.0 10890.0 27604 1961 55000.0 ad4317 Daly Rd, Raleigh, NCadf
3.0 2.5 1503.0 5227.0 27604 1992 189999.0 ad1708 Kingston Heath Way, Raleigh, NCadf
3.0 2.5 2188.0 9148.0 27604 1995 296000.0 ad2001 Muirfield Village Way, Raleigh, NCadf
3.0 2.5 1639.0 5663.0 27604 1999 230000.0 ad5408 Grand Traverse Dr, Raleigh, NCadf
3.0 1.0 1015.0 16117.199999999999 27604 1959 180000.0 ad2419 Dorety Pl, Raleigh, NCadf
3.0 3.0 2711.0 5663.0 27604 1901 700000.0 ad519 N East St, Raleigh, NCadf
3.0 2.0 1440.0 12196.800000000001 27604 1979 209973.0 ad3525 Constellation Dr, Raleigh, NCadf
3.0 2.5 2171.0 7405.0 27604 2002 270000.0 ad2200 Wyckford Forest Dr, Raleigh, NCadf
3.0 1.5 1266.0 20037.600000000002 27604 1962 239900.0 ad3814 Lee Rd, Raleigh, NCadf
4.0 2.5 3567.0 52707.6 27604 1981 439900.0 ad3017 Barnsley Ln, Raleigh, NCadf
3.0 2.0 1991.0 25700.399999999998 27604 1973 319900.0 ad4313 Hopson Dr, Raleigh, NCadf
3.0 2.0 1667.0 5227.0 27604 1999 250000.0 ad1618 Crag Burn Ln, Raleigh, NCadf
4.0 2.0 2114.0 26136.0 27604 2015 375000.0 ad4804 Whitehall Ave, Raleigh, NCadf
4.0 2.5 2049.0 71002.79999999999 27604 1988 410000.0 ad1929 Old Greenfield Rd, Raleigh, NCadf
3.0 2.5 1723.0 9583.0 27604 1987 260000.0 ad2605 Denbigh Ct, Raleigh, NCadf
3.0 2.5 2067.0 9148.0 27604 1994 300000.0 ad2017 Muirfield Village Way, Raleigh, NCadf
3.0 2.0 1800.0 13068.0 27604 1966 259900.0 ad3105 Arrowwood Dr, Raleigh, NCadf
3.0 2.0 1295.0 10018.800000000001 27604 1973 220000.0 ad4513 Limerick Dr, Raleigh, NCadf
3.0 2.5 1431.0 3485.0 27604 2002 235000.0 ad2336 Sapphire Valley Dr, Raleigh, NCadf
3.0 2.0 1415.0 7841.0 27604 1985 235000.0 ad3109 E Folkestone Pl, Raleigh, NCadf
3.0 2.0 1650.0 6534.0 27604 1923 549500.0 ad505 Holden St, Raleigh, NCadf
4.0 3.5 3669.0 30056.399999999998 27604 2015 499000.0 ad2418 Dorety Pl, Raleigh, NCadf
3.0 2.5 1500.0 37461.6 27604 1996 275000.0 ad6241 River Landings Dr, Raleigh, NCadf
3.0 2.5 1618.0 7841.0 27604 1989 235000.0 ad4901 Liverpool Ln, Raleigh, NCadf
4.0 2.0 2193.0 28314.0 27604 1984 375000.0 ad2208 Jarman Dr, Raleigh, NCadf
4.0 2.5 2703.0 6970.0 27604 2007 309900.0 ad3710 Charleston Park Dr, Raleigh, NCadf
3.0 2.5 1672.0 8712.0 27604 1989 250000.0 ad4705 Worchester Pl, Raleigh, NCadf
3.0 1.5 1081.0 11761.2 27604 1960 229900.0 ad3016 Glenridge Dr, Raleigh, NCadf
3.0 2.5 1954.0 6098.0 27604 1995 299900.0 ad2018 Laurel Valley Way, Raleigh, NCadf
3.0 1.0 1091.0 9148.0 27604 1959 335000.0 ad2213 Mossbank Rd, Raleigh, NCadf
4.0 2.5 2060.0 5227.0 27604 1922 675000.0 ad525 Euclid St, Raleigh, NCadf
4.0 3.0 2606.0 8712.0 27604 2020 735000.0 ad705 N State St, Raleigh, NCadf
2.0 1.0 1007.0 9148.0 27604 1950 375000.0 ad701 Glascock St, Raleigh, NCadf
4.0 3.0 2500.0 6534.0 27604 1928 705500.0 ad720 N Bloodworth St, Raleigh, NCadf
2.0 1.0 964.0 8712.0 27604 1952 349990.0 ad715 Van Buren Rd, Raleigh, NCadf
